,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
800,Prix : 15 000 DT,Volkswagen Transporter,8 CV,Diesel,Manuelle,23 Nov. 2018,Mornag,particulier,230000 Km,2008,Excellent
801,Prix : 27 000 DT,Clio 3 en très bon état,5 CV,Essence,Manuelle,19 Nov. 2018,Ariana Ville,particulier,63800 Km,01-2010,Très bon
802,Prix : 34 000 DT,Polo soudan 2an et demi d'origine,5 CV,Essence,Manuelle,19 Nov. 2018,Ezzahra,particulier,130 Km,03-2016,Neuf
803,Prix : 17 900 DT,AV voiture juste pour cause de départ à l'étranger,4 CV,Essence,Manuelle,19 Nov. 2018,Ain Zaghouan,particulier,171000 Km,04-2005,Très bon
804,Prix : 65 000 DT,Seat leon,6 CV,Essence,Manuelle,13 Nov. 2018,Sfax Ville,particulier,39400 Km,05-2016,D'origine
805,Prix : 24 000 DT,Symbole ou echange,5 CV,Essence,Manuelle,13 Nov. 2018,El Ksour,particulier,61000 Km,04-2013,Neuf
806,Prix : 18 000 DT,Opel Astra H,5 CV,Essence,Manuelle,13 Nov. 2018,El Ouerdia,particulier,220000 Km,10-2006,Bon
807,Prix : 11 950 DT,Peugeot 2008,5 CV,Diesel,Manuelle,6 Nov. 2018,Jendouba,particulier,59010 Km,12-2014,Très bon
808,Prix : 26 000 DT,A Vendre trés bonne voiture d'occasion,5 CV,Essence,Manuelle,6 Nov. 2018,Ezzahra,particulier,107 Km,05-2012,Excellent
809,Prix : 60 000 DT,Vend Mazda,9 CV,Essence,Automatique,6 Nov. 2018,Sousse Ville,particulier,117 Km,02-2014,Très bon
810,Prix : 23 000 DT,Jeep Grand cherokee,11 CV,Diesel,Automatique,30 Oct. 2018,Hammam Lif,particulier,0 Km,2000,Très bon
811,Prix : 180 000 DT,C180 Kit AMG,8 CV,Essence,Automatique,30 Oct. 2018,Menzel Jemil,particulier,13000 Km,01-2018,Excellent
812,Prix : 75 000 DT,116i allemande,7 CV,Essence,Automatique,29 Oct. 2018,Akouda,particulier,70000 Km,08-2013,Excellent
813,Prix : 17 000 DT,A VENDRE CITROËN XARA 1 ÈRE MAIN,5 CV,Diesel,Manuelle,29 Oct. 2018,Ariana Ville,particulier,38000 Km,09-2001,Très bon
814,Prix : 130 000 DT,C180 Amg allemande,8 CV,Essence,Automatique,28 Oct. 2018,Akouda,particulier,98000 Km,09-2014,Excellent
815,Prix : 67 000 DT,Passat carrat allemande,5 CV,Diesel,Manuelle,28 Oct. 2018,Akouda,particulier,148000 Km,08-2013,Excellent
816,Prix : 34 000 DT,VOLKSWAGEN GOLF 6 1.4 TSI 160 BVA 7,9 CV,Essence,Automatique,23 Oct. 2018,El Kram,particulier,99800 Km,03-2011,Excellent
817,Prix : 27 000 DT,Opel Corsa d'un cadre bancaire très propre,5 CV,Essence,Manuelle,19 Oct. 2018,Tunis,particulier,81000 Km,09-2014,Excellent
818,Prix : 34 000 DT,GOLF 6 1.4 CONFORTLINE BVA 7 Faible kilométrage réelle avec diagnostic,9 CV,Essence,Automatique,19 Oct. 2018,El Kram,particulier,99700 Km,03-2011,Excellent
819,Prix : 80 000 DT,Rexton presque neuf a vendre ou échange,10 CV,Diesel,Automatique,19 Oct. 2018,Ain Zaghouan,particulier,130000 Km,08-2014,D'origine
820,Prix : 75 000 DT,MAZDA 6,9 CV,Essence,Automatique,19 Oct. 2018,Ariana Ville,particulier,62000 Km,06-2015,Excellent
821,Prix : 125 000 DT,BMW 520D,8 CV,Diesel,Automatique,19 Oct. 2018,Ariana Ville,particulier,85000 Km,03-2015,Excellent
822,Prix : 34 000 DT,GOLF 6 1.4 CONFORTLINE BVA 7 Faible kilométrage réelle avec diagnostic,9 CV,Essence,Automatique,13 Oct. 2018,La Goulette,particulier,99700 Km,03-2011,Excellent
823,Prix : 130 000 DT,Toyota Prado TXL modèle 2011,9 CV,Diesel,Manuelle,11 Oct. 2018,Tunis,particulier,215000 Km,05-2011,Excellent
824,Prix : 34 000 DT,VOLKSWAGEN GOLF 6 1.4 TSI 160 CONFORTLINE DSG7( Faible kilométrage),9 CV,Essence,Automatique,11 Oct. 2018,El Kram,particulier,99700 Km,03-2011,Excellent
825,Prix : 25 DT,Megane 3,5 CV,Diesel,Manuelle,10 Oct. 2018,Hammam Chatt,particulier,200 Km,10-2010,Très bon
826,Prix : 48 000 DT,SEAT LEON TSI Référence,6 CV,Essence,Manuelle,10 Oct. 2018,Msaken,particulier,74000 Km,11-2016,D'origine
827,Prix : 53 000 DT,"Audi a4 1,8",7 CV,Essence,Manuelle,10 Oct. 2018,Tunis,particulier,144000 Km,05-2014,Excellent
828,Prix : 27 000 DT,VENTE DE VOITURE NEMO,6 CV,Diesel,Manuelle,8 Oct. 2018,El Hrairia,particulier,24700 Km,12-2014,D'origine
829,Prix : 15 500 DT,TATA XENON,7 CV,Diesel,Manuelle,8 Oct. 2018,El Omrane Superieur,particulier,117000 Km,09-2016,Excellent
830,Prix : 32 000 DT,GOLF 6 TDI 1.6L,5 CV,Diesel,Manuelle,8 Oct. 2018,Hammamet,particulier,290 Km,08-2010,D'origine
831,Prix : 36 000 DT,Avendre ou échenge tiguan 1.4 tsi 4 motions,9 CV,Essence,Manuelle,30 Sept. 2018,Kasserine Nord,particulier,191000 Km,07-2008,Très bon
832,Prix : 24 000 DT,Vente hyundai i10 populaire,4 CV,Essence,Manuelle,30 Sept. 2018,La Soukra,particulier,38000 Km,10-2016,Excellent
