,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
2759,Prix : 18 500 DT,Renault Symbol,5 CV,Essence,Manuelle,3 Janv. 2017,Sfax Ville,particulier,165000 Km,2013,Très bon
2760,Prix : 13 800 DT,Citroën Berlingo,,Diesel,Manuelle,3 Janv. 2017,Nabeul,particulier,195000 Km,2006,Très bon
2761,Prix : 16 200 DT,Renault Mégane,,Essence,Manuelle,3 Janv. 2017,El Menzah,particulier,155000 Km,2007,Très bon
2762,Prix : 23 500 DT,Mazda 2 blanche propre,5 CV,Essence,Manuelle,3 Janv. 2017,Sousse Jaouhara,particulier,48000 Km,06-2014,D'origine
2763,Prix : 21 600 DT,FORD FIESTA IMPORTÉE DE LA FRANCE,5 CV,Essence,Manuelle,3 Janv. 2017,Kairouan Nord,particulier,139 Km,01-2011,Très bon
2764,Prix : 22 500 DT,Av laguna 3 très propre 1ere main d'origine,6 CV,Diesel,Manuelle,3 Janv. 2017,Carthage,particulier,220000 Km,01-2010,Très bon
2765,Prix : 27 000 DT,BELLE C4,6 CV,Essence,Manuelle,3 Janv. 2017,Sfax Ville,particulier,69500 Km,10-2011,Très bon
2766,Prix : 13 400 DT,Opel Astra,,Diesel,Manuelle,2 Janv. 2017,Msaken,particulier,230000 Km,2004,Très bon
2767,Prix : 24 500 DT,Peugeot partner 5,6 CV,Essence,Manuelle,2 Janv. 2017,Ariana Ville,particulier,60000 Km,2011,Très bon
2768,Prix : 36 000 DT,Passat TDi,,Diesel,Manuelle,2 Janv. 2017,La Marsa,particulier,125000 Km,2011,Très bon
2769,Prix : 25 700 DT,KIA Rio,,Essence,Manuelle,2 Janv. 2017,Bizerte Nord,particulier,72000 Km,2014,Très bon
2770,Prix : 14 900 DT,Peugeot 206,5 CV,Essence,Manuelle,2 Janv. 2017,Ezzahra,particulier,145 Km,2006,Très bon
2771,Prix : 23 500 DT,Peugeot 308,6 CV,Essence,Manuelle,2 Janv. 2017,Ezzahra,particulier,84 Km,2010,Très bon
2772,Prix : 31 900 DT,Golf 6,,Diesel,Manuelle,2 Janv. 2017,Dar Chaabane Elfehri,particulier,135000 Km,2012,Très bon
2773,Prix : 23 000 DT,Citroen c5,6 CV,Diesel,Manuelle,2 Janv. 2017,Rades,particulier,175000 Km,2010,Très bon
2774,Prix : 35 000 DT,Mercedes e220,9 CV,Diesel,Automatique,2 Janv. 2017,Bou Argoub,particulier,211000 Km,2003,Très bon
2775,Prix : 28 500 DT,Golf 5,,Essence,Manuelle,2 Janv. 2017,Sfax Ville,particulier,135000 Km,2008,Très bon
2776,Prix : 27 000 DT,CITROEN C4,6 CV,Essence,Manuelle,2 Janv. 2017,Sfax Ville,particulier,69500 Km,10-2011,Très bon
2777,Prix : 16 000 DT,Peugeot 207,6 CV,Essence,Manuelle,2 Janv. 2017,El Hamma,particulier,175000 Km,10-2007,Excellent
2778,Prix : 15 000 DT,OPEL astra,,Essence,Manuelle,1 Janv. 2017,Ben Arous,particulier,165000 Km,2003,Très bon
2779,Prix : 12 900 DT,Polo 5,,Essence,Manuelle,1 Janv. 2017,Hergla,particulier,165000 Km,2003,Très bon
2780,Prix : 21 000 DT,Peugeot 207,,Diesel,Manuelle,1 Janv. 2017,Hammam Sousse,particulier,145000 Km,2012,Très bon
2781,Prix : 34 800 DT,Peugeot 508,,Diesel,Manuelle,1 Janv. 2017,La Soukra,particulier,105000 Km,2012,Très bon
2782,Prix : 19 800 DT,Clio Campus,4 CV,Essence,Manuelle,1 Janv. 2017,Mannouba,particulier,78000 Km,2010,Très bon
2783,Prix : 19 200 DT,Ford Fiesta,5 CV,Essence,Manuelle,1 Janv. 2017,Nouvelle Medina,particulier,155000 Km,2010,Très bon
2784,Prix : 32 000 DT,AUDI A3 Sportback,,Essence,Manuelle,1 Janv. 2017,Tunis,particulier,166 Km,2005,Très bon
2785,Prix : 29 000 DT,Mazda BT-50 Diesel,10 CV,Diesel,Manuelle,1 Janv. 2017,Menzel Bouzaiene,particulier,200000 Km,07-2009,Neuf
2786,Prix : 21 000 DT,OPEL ASTRA H Essence,5 CV,Essence,Manuelle,30 Déc. 2016,Rades,particulier,181000 Km,12-2008,Très bon
2787,Prix : 12 500 DT,Mégane classic,,Essence,Manuelle,30 Déc. 2016,Oued Ellil,particulier,230000 Km,2005,Très bon
2788,Prix : 25 000 DT,Audi TT Cabriolet,9 CV,Essence,Manuelle,30 Déc. 2016,Ezzahra,particulier,185 Km,2002,Très bon
2789,Prix : 17 800 DT,ASTRA H,,Essence,Manuelle,30 Déc. 2016,Beni Khiar,particulier,185000 Km,2006,Très bon
2790,Prix : 16 500 DT,Chevrolet Optra Ls,6 CV,Essence,Manuelle,30 Déc. 2016,Hammam Lif,particulier,165 Km,01-2006,Bon
2791,Prix : 18 000 DT,Vente chevrolet,6 CV,Essence,Manuelle,30 Déc. 2016,Tunis,particulier,150000 Km,10-2010,Très bon
2792,Prix : 21 000 DT,OPEL ASTRA H Essence,5 CV,Essence,Manuelle,30 Déc. 2016,Rades,particulier,181000 Km,12-2008,Très bon
2793,Prix : 19 200 DT,Chevrolet aveo,,Essence,Manuelle,29 Déc. 2016,Tunis,particulier,92000 Km,2013,Très bon
2794,Prix : 26 500 DT,Fiat panda,4 CV,Essence,Manuelle,29 Déc. 2016,Ain Zaghouan,particulier,67000 Km,2013,Très bon
2795,Prix : 35 900 DT,Volkswagen Passat,,Diesel,Manuelle,29 Déc. 2016,Hammam Sousse,particulier,105000 Km,2011,Très bon
2796,Prix : 23 000 DT,Fiat punto pop,4 CV,Essence,Manuelle,29 Déc. 2016,Sfax Sud,particulier,29 Km,2015,Très bon
2797,Prix : 15 000 DT,Ford Fiesta,5 CV,Essence,Manuelle,29 Déc. 2016,Ezzahra,particulier,112 Km,2009,Très bon
2798,Prix : 21 000 DT,Renault Mégane,7 CV,Essence,Manuelle,29 Déc. 2016,Sfax Ville,particulier,125000 Km,2010,Très bon
2799,Prix : 26 500 DT,Mini one,5 CV,Essence,Manuelle,29 Déc. 2016,Sfax Ville,particulier,92000 Km,2010,Très bon
2800,Prix : 14 000 DT,Peugeot 407,,Diesel,Manuelle,29 Déc. 2016,Monastir,particulier,230000 Km,2005,Très bon
2801,Prix : 15 000 DT,Opel Astra,5 CV,Diesel,Manuelle,29 Déc. 2016,Monastir,particulier,350000 Km,2000,Bon
2802,Prix : 11 800 DT,Volkswagen Polo 5,,Essence,Manuelle,29 Déc. 2016,Sousse Jaouhara,particulier,77000 Km,2005,Très bon
2803,Prix : 31 000 DT,BMW 118d,7 CV,Diesel,Manuelle,29 Déc. 2016,Ezzahra,particulier,220 Km,2008,Très bon
2804,Prix : 9 700 DT,Citroen Xsara,,Diesel,Manuelle,29 Déc. 2016,Menzel Temime,particulier,135000 Km,2002,Très bon
2805,Prix : 20 700 DT,Fiat bravo,,Essence,Manuelle,29 Déc. 2016,El Menzah,particulier,116000 Km,2008,
2806,Prix : 26 500 DT,Ford Fiesta,5 CV,Essence,Manuelle,29 Déc. 2016,Sfax Ville,particulier,55 Km,2013,Très bon
2807,Prix : 18 500 DT,Citroen C4,7 CV,Essence,Automatique,29 Déc. 2016,Ariana Ville,particulier,145000 Km,2010,Très bon
2808,Prix : 24 000 DT,Citroen C5,,Diesel,Manuelle,29 Déc. 2016,Kasserine Nord,particulier,145000 Km,2011,Très bon
2809,Prix : 14 900 DT,Renault Mégane,,Diesel,Manuelle,29 Déc. 2016,Ksar Helal,particulier,230000 Km,2007,Très bon
2810,Prix : 60 000 DT,Honda CR-V,11 CV,Essence,Manuelle,29 Déc. 2016,Ezzahra,particulier,16 Km,2015,Très bon
2811,Prix : 16 500 DT,Fiat Grande Punto,4 CV,Essence,Manuelle,29 Déc. 2016,Sfax Ville,particulier,125000 Km,2012,Très bon
2812,Prix : 19 000 DT,Peugeot 308,6 CV,Essence,Manuelle,29 Déc. 2016,Hammam Sousse,particulier,135000 Km,2008,Très bon
2813,Prix : 9 250 DT,Peugeot 106,4 CV,Essence,Manuelle,29 Déc. 2016,Ettahrir,particulier,195000 Km,2000,Très bon
2814,Prix : 14 900 DT,Opel Astra,,Essence,Manuelle,29 Déc. 2016,El Menzah,particulier,165000 Km,2004,Très bon
2815,Prix : 13 500 DT,Clio classique,5 CV,Essence,Manuelle,29 Déc. 2016,Sejnane,particulier,230000 Km,2005,Bon
2816,Prix : 12 700 DT,Ford Fiesta,5 CV,Essence,Manuelle,29 Déc. 2016,Jemmal,particulier,165000 Km,2005,Très bon
2817,Prix : 18 000 DT,Peugeot 107,4 CV,Essence,Manuelle,29 Déc. 2016,Ezzahra,particulier,83 Km,2010,Très bon
2818,Prix : 30 000 DT,VW Golf 6,5 CV,Essence,Manuelle,29 Déc. 2016,Ezzahra,particulier,124 Km,2011,Très bon
2819,Prix : 24 000 DT,Renault Modus,,Essence,Manuelle,29 Déc. 2016,Hammamet,particulier,90508 Km,2012,Très bon
2820,Prix : 29 000 DT,Chevrolet Cruze LS,7 CV,Essence,Manuelle,29 Déc. 2016,Nabeul,particulier,98000 Km,08-2012,Excellent
2821,Prix : 21 000 DT,OPEL ASTRA H Essence,5 CV,Essence,Manuelle,29 Déc. 2016,Rades,particulier,181000 Km,12-2008,Très bon
2822,Prix : 15 000 DT,Occasion à ne pas rater,5 CV,Diesel,Manuelle,29 Déc. 2016,Monastir,particulier,315000 Km,09-2000,Très bon
2823,Prix : 20 000 DT,"Belle C4 picasso 1,6 HDI",6 CV,Diesel,Manuelle,29 Déc. 2016,Ariana Ville,particulier,180000 Km,12-2008,Très bon
2824,Prix : 15 000 DT,Peugeot 206-série 129,4 CV,Essence,Manuelle,29 Déc. 2016,La Marsa,professionnel,113620 Km,10-2007,D'origine
2825,Prix : 24 300 DT,Peugeot 407,6 CV,Diesel,Manuelle,27 Déc. 2016,Sousse Riadh,particulier,145000 Km,2010,Très bon
2826,Prix : 12 800 DT,Peugeot 206,,Essence,Manuelle,27 Déc. 2016,Cite El Khadra,particulier,165000 Km,2005,Très bon
2827,Prix : 22 000 DT,Volkswagen Caddy,,Diesel,Manuelle,27 Déc. 2016,Mnihla,particulier,135000 Km,2012,Très bon
2828,Prix : 13 500 DT,Renault Classic,5 CV,Essence,Manuelle,27 Déc. 2016,Nabeul,particulier,175000 Km,2005,Très bon
2829,Prix : 9 100 DT,Peugeot 106,4 CV,Essence,Manuelle,27 Déc. 2016,Hammam Chatt,particulier,230000 Km,1998,Très bon
2830,Prix : 11 800 DT,Polo 5,4 CV,Essence,Manuelle,27 Déc. 2016,Hergla,particulier,155000 Km,2005,Bon
2831,Prix : 18 700 DT,Peugeot 308,6 CV,Essence,Manuelle,27 Déc. 2016,Mateur,particulier,115000 Km,2009,Très bon
2832,Prix : 20 000 DT,BMW 520i E39,11 CV,Essence,Manuelle,27 Déc. 2016,Ezzahra,particulier,180 Km,2000,Très bon
2833,Prix : 7 900 DT,Opel swing,4 CV,Essence,Manuelle,27 Déc. 2016,Tunis,particulier,270000 Km,1995,Bon
2834,Prix : 18 000 DT,Volkswagen Polo,5 CV,Essence,Manuelle,27 Déc. 2016,Rades,particulier,270000 Km,2010,Très bon
2835,Prix : 13 800 DT,Fiat punto 3,,Essence,Manuelle,27 Déc. 2016,Hammam Sousse,particulier,155000 Km,2008,Très bon
2836,Prix : 15 000 DT,Citroen C3,4 CV,Essence,Manuelle,27 Déc. 2016,Zaghouan,particulier,155000 Km,2007,Très bon
2837,Prix : 15 000 DT,Renault Clio,4 CV,Essence,Manuelle,27 Déc. 2016,Sfax Ville,particulier,82000 Km,2002,Très bon
2838,Prix : 12 800 DT,Peugeot partner,,Diesel,Manuelle,27 Déc. 2016,Sousse Ville,particulier,185000 Km,2009,Très bon
2839,Prix : 20 000 DT,Peugeot Partner,,Essence,Manuelle,27 Déc. 2016,Zaghouan,particulier,105000 Km,2011,Très bon
2840,Prix : 33 500 DT,Peugeot 508,9 CV,Essence,Manuelle,27 Déc. 2016,Ben Arous,particulier,104 Km,2012,Très bon
2841,Prix : 35 000 DT,Belle kia cerato,7 CV,Essence,Manuelle,27 Déc. 2016,El Omrane,particulier,130000 Km,08-2013,Excellent
2842,Prix : 27 500 DT,Clio 4,,Diesel,Manuelle,27 Déc. 2016,El Ouerdia,particulier,92000 Km,2013,Très bon
2843,Prix : 14 200 DT,Megane casquette,,Essence,Manuelle,27 Déc. 2016,Tunis,particulier,145000 Km,2005,Très bon
2844,Prix : 13 600 DT,Clio5,,Essence,Manuelle,27 Déc. 2016,Kalaat Sinane,particulier,115000 Km,2002,Très bon
2845,Prix : 17 400 DT,Dacia dokker,,Diesel,Manuelle,27 Déc. 2016,El Menzah,particulier,125000 Km,2013,Très bon
2846,Prix : 12 200 DT,FORD FIESTA,,Essence,Manuelle,27 Déc. 2016,Ben Arous,particulier,155000 Km,2004,Très bon
2847,Prix : 23 800 DT,Peugeot partner,,Essence,Manuelle,27 Déc. 2016,El Menzah,particulier,105000 Km,2012,Très bon
2848,Prix : 54 000 DT,Golf 7,,Essence,Manuelle,27 Déc. 2016,El Menzah,particulier,22000 Km,2015,Très bon
2849,Prix : 36 000 DT,Audi a3 S line,,Essence,Manuelle,27 Déc. 2016,Ariana Ville,particulier,125000 Km,2012,Très bon
2850,Prix : 22 000 DT,Ford fiesta,5 CV,Essence,Manuelle,27 Déc. 2016,El Ouerdia,particulier,62000 Km,2012,Très bon
2851,Prix : 19 100 DT,Une belle voiture citroen c-elyse,5 CV,Essence,Manuelle,27 Déc. 2016,Hammamet,particulier,180000 Km,06-2013,Très bon
2852,Prix : 21 800 DT,SEAT IBIZA,5 CV,Essence,Manuelle,26 Déc. 2016,Sfax Sud,particulier,63000 Km,2012,Très bon
2853,Prix : 18 300 DT,Renault twingo,,Essence,Manuelle,26 Déc. 2016,El Menzah,particulier,135000 Km,2010,Très bon
2854,Prix : 62 000 DT,BMW Urban Line 116i,7 CV,Essence,Automatique,26 Déc. 2016,Ariana Ville,particulier,119000 Km,09-2012,Excellent
2855,Prix : 29 000 DT,VW SCIROCCO,9 CV,Essence,Automatique,26 Déc. 2016,Carthage,particulier,130000 Km,03-2011,Excellent
2856,Prix : 15 300 DT,A vendre Peugeot 206 série 129,4 CV,Essence,Manuelle,26 Déc. 2016,La Marsa,professionnel,113620 Km,11-2007,Excellent
2857,Prix : 10 500 DT,Polo 5,5 CV,Essence,Manuelle,26 Déc. 2016,Mannouba,particulier,260000 Km,07-2004,Très bon
2858,Prix : 19 000 DT,Volkswagen Jetta,,Essence,Manuelle,26 Déc. 2016,Sfax Est,particulier,125000 Km,2010,Très bon
2859,Prix : 13 500 DT,Citroën Picasso,5 CV,Diesel,Manuelle,26 Déc. 2016,Sousse Ville,particulier,184000 Km,2008,Bon
2860,Prix : 17 800 DT,Chevrolet Aveo,,Essence,Manuelle,26 Déc. 2016,Gabes Medina,particulier,87000 Km,2015,Très bon
2861,Prix : 24 000 DT,Citroen C5,,Diesel,Manuelle,26 Déc. 2016,Kasserine Nord,particulier,145000 Km,2011,Très bon
2862,Prix : 22 500 DT,Renault Clio,5 CV,Essence,Manuelle,26 Déc. 2016,El Hencha,particulier,62000 Km,2014,Très bon
2863,Prix : 22 000 DT,Ford fiesta,,Essence,Manuelle,26 Déc. 2016,Sfax Sud,particulier,32000 Km,2009,Très bon
2864,Prix : 18 500 DT,Renault Symbol,5 CV,Essence,Manuelle,26 Déc. 2016,Hergla,particulier,62000 Km,2013,Très bon
2865,Prix : 8 500 DT,Opel Corsa,4 CV,Essence,Manuelle,26 Déc. 2016,Kelibia,particulier,136 Km,1999,Très bon
2866,Prix : 20 300 DT,Peugeot 407,,Diesel,Manuelle,26 Déc. 2016,El Menzah,particulier,165000 Km,2009,Très bon
2867,Prix : 27 300 DT,Volkswagen Passat,,Diesel,Manuelle,26 Déc. 2016,El Menzah,particulier,270000 Km,2007,Très bon
2868,Prix : 30 000 DT,Jeep Compass,8 CV,Diesel,Manuelle,26 Déc. 2016,Ezzahra,particulier,133 Km,2007,Très bon
2869,Prix : 20 000 DT,Polo 7,5 CV,Essence,Manuelle,26 Déc. 2016,Sfax Ville,particulier,115000 Km,2012,Très bon
2870,Prix : 24 000 DT,Kia Rio,5 CV,Essence,Manuelle,26 Déc. 2016,Sfax Ville,particulier,105000 Km,2013,Très bon
2871,Prix : 18 000 DT,Kia Rio,,Essence,Manuelle,26 Déc. 2016,Tabarka,particulier,125000 Km,2010,Très bon
2872,Prix : 16 500 DT,Renault symbole,5 CV,Essence,Manuelle,26 Déc. 2016,Gafsa Nord,particulier,105000 Km,2012,Très bon
2873,Prix : 7 000 DT,Opel corsa,4 CV,Essence,Manuelle,26 Déc. 2016,Gabes Medina,particulier,269726 Km,1998,Bon
2874,Prix : 13 500 DT,Audi A4,7 CV,Essence,Manuelle,26 Déc. 2016,Ezzahra,particulier,312 Km,1996,Très bon
2875,Prix : 12 500 DT,Peugeot 206,4 CV,Essence,Manuelle,26 Déc. 2016,La Marsa,particulier,230000 Km,2004,Bon
2876,Prix : 16 400 DT,POLO 6,4 CV,Essence,Manuelle,26 Déc. 2016,Ariana Ville,particulier,106 Km,2008,Très bon
2877,Prix : 11 000 DT,Clio bombé,,Essence,Manuelle,26 Déc. 2016,Raoued,particulier,230000 Km,2000,Très bon
2878,Prix : 23 000 DT,Peugeot Bipper Tepee,5 CV,Essence,Manuelle,26 Déc. 2016,Ezzahra,particulier,116 Km,2013,Très bon
2879,Prix : 23 500 DT,VW Passat,7 CV,Essence,Manuelle,26 Déc. 2016,Ezzahra,particulier,174 Km,2009,Très bon
2880,Prix : 19 500 DT,Dacia Dokker,6 CV,Diesel,Manuelle,26 Déc. 2016,Ezzahra,particulier,88 Km,2013,Très bon
2881,Prix : 18 000 DT,Peugeot 107,4 CV,Essence,Manuelle,26 Déc. 2016,Ezzahra,particulier,83 Km,2010,Très bon
2882,Prix : 15 600 DT,Peugeot 301,,Essence,Manuelle,26 Déc. 2016,El Mourouj,particulier,105000 Km,2013,Très bon
2883,Prix : 22 500 DT,Ford fiesta,5 CV,Essence,Manuelle,26 Déc. 2016,El Ouerdia,particulier,67000 Km,2012,Très bon
2884,Prix : 38 900 DT,Smart Forfour,4 CV,Essence,Manuelle,24 Déc. 2016,Sousse Ville,particulier,9800 Km,04-2015,Neuf
2885,Prix : 13 500 DT,A vendre une voiture Nissan Terrano II- TDI,11 CV,Diesel,Manuelle,24 Déc. 2016,Ariana Ville,particulier,227000 Km,1997,Bon
2886,Prix : 16 000 DT,Ford Fiesta,5 CV,Essence,Manuelle,23 Déc. 2016,Ezzahra,particulier,162 Km,2007,Très bon
2887,Prix : 12 800 DT,Citroine C3,,Essence,Manuelle,23 Déc. 2016,Gafsa Nord,particulier,155000 Km,2008,Très bon
2888,Prix : 16 800 DT,Fiat Punto Pop,4 CV,Essence,Manuelle,23 Déc. 2016,Bizerte Nord,particulier,67000 Km,2013,Très bon
2889,Prix : 18 200 DT,Peugeot 307,7 CV,Essence,Manuelle,23 Déc. 2016,Ghardimaou,particulier,165000 Km,2006,Très bon
2890,Prix : 18 500 DT,Renault symbole,5 CV,Essence,Manuelle,23 Déc. 2016,Mahdia,particulier,20000 Km,2013,Très bon
2891,Prix : 19 500 DT,Fiat grande punto,5 CV,Essence,Manuelle,23 Déc. 2016,Beja Sud,particulier,115000 Km,2011,Très bon
2892,Prix : 14 800 DT,Megane 2,,Essence,Manuelle,23 Déc. 2016,Sfax Ville,particulier,165000 Km,2004,Très bon
2893,Prix : 13 000 DT,Polo 5,5 CV,Essence,Manuelle,23 Déc. 2016,Ariana Ville,particulier,230000 Km,2005,Très bon
2894,Prix : 25 400 DT,Audi a4,,Essence,Manuelle,23 Déc. 2016,El Mourouj,particulier,230000 Km,2005,Très bon
2895,Prix : 13 500 DT,BMW e36,,Essence,Manuelle,23 Déc. 2016,Le Bardo,particulier,270000 Km,1994,Très bon
2896,Prix : 7 800 DT,CITOEN SAXO,5 CV,Essence,Manuelle,23 Déc. 2016,Ariana Ville,particulier,270000 Km,2000,Très bon
2897,Prix : 19 500 DT,Dacia Dokker,6 CV,Diesel,Manuelle,23 Déc. 2016,Ezzahra,particulier,88 Km,2013,Très bon
2898,Prix : 65 000 DT,Nissan Qashqai Tekna,6 CV,Essence,Manuelle,23 Déc. 2016,Ezzahra,particulier,72 Km,2014,Très bon
2899,Prix : 11 600 DT,Renault Clio,,Essence,Manuelle,23 Déc. 2016,Sousse Riadh,particulier,185000 Km,2000,Très bon
2900,Prix : 8 800 DT,Peugeot Partner,,Diesel,Manuelle,23 Déc. 2016,Ariana Ville,particulier,450000 Km,2000,Bon
2901,Prix : 21 500 DT,Clio compus,,Essence,Manuelle,23 Déc. 2016,Sfax Ville,particulier,57 Km,2010,Très bon
2902,Prix : 18 500 DT,Fiat punto,,Essence,Manuelle,23 Déc. 2016,Sfax Ville,particulier,82000 Km,2014,Très bon
2903,Prix : 19 000 DT,Ford Fiesta,5 CV,Essence,Manuelle,23 Déc. 2016,Le Kef Ouest,particulier,145000 Km,2009,Très bon
2904,Prix : 14 500 DT,Chevrolet aveo,4 CV,Essence,Manuelle,23 Déc. 2016,Ezzahra,particulier,162 Km,2007,Très bon
2905,Prix : 39 500 DT,Citroen DS4,7 CV,Essence,Manuelle,23 Déc. 2016,Ezzahra,particulier,107 Km,2012,Très bon
2906,Prix : 15 200 DT,Golf 4,7 CV,Essence,Manuelle,23 Déc. 2016,Ennadhour,professionnel,256 Km,12-2002,Bon
2907,Prix : 9 500 DT,Voiture polo classic sdi,6 CV,Diesel,Manuelle,23 Déc. 2016,Bizerte Nord,particulier,294000 Km,01-1998,Bon
2908,Prix : 18 500 DT,Fiat punto,4 CV,Essence,Manuelle,21 Déc. 2016,Sousse Jaouhara,particulier,82000 Km,2014,Très bon
2909,Prix : 15 500 DT,Citroën C3,4 CV,Essence,Manuelle,21 Déc. 2016,Mannouba,particulier,22000 Km,2007,Très bon
2910,Prix : 15 500 DT,Isuzu Diesel,,,,21 Déc. 2016,Le Krib,particulier,40000 Km,1992,Bon
2911,Prix : 10 900 DT,Peugeot 206,4 CV,Essence,Manuelle,21 Déc. 2016,Mannouba,particulier,4000 Km,2004,Très bon
2912,Prix : 18 500 DT,Citroën C4,5 CV,Diesel,Manuelle,21 Déc. 2016,Hammamet,particulier,185000 Km,2007,Très bon
2913,Prix : 22 500 DT,Polo sedan,5 CV,Essence,Manuelle,21 Déc. 2016,Teboursouk,particulier,72000 Km,2013,Très bon
2914,Prix : 18 500 DT,FORD FIESTA,,Essence,Manuelle,21 Déc. 2016,Le Bardo,particulier,115000 Km,2010,Très bon
2915,Prix : 27 800 DT,Citroen C4,,Diesel,Manuelle,21 Déc. 2016,Nabeul,particulier,125000 Km,2012,Très bon
2916,Prix : 16 000 DT,Nissan Micra,,Essence,Manuelle,21 Déc. 2016,Bizerte Nord,particulier,87000 Km,2013,Très bon
2917,Prix : 31 000 DT,Citroen C5,,Diesel,Automatique,21 Déc. 2016,Mannouba,particulier,230000 Km,2012,Très bon
2918,Prix : 17 200 DT,Opel astra,,Essence,Manuelle,21 Déc. 2016,Nabeul,particulier,185000 Km,2008,Très bon
2919,Prix : 16 500 DT,Volkswagen Polo 6,5 CV,Essence,Manuelle,21 Déc. 2016,Ezzahra,particulier,87000 Km,2006,Très bon
2920,Prix : 14 500 DT,Ford figo,,Essence,Manuelle,21 Déc. 2016,Menzel Temime,particulier,77000 Km,2013,Très bon
2921,Prix : 24 800 DT,Citroen C5,,Diesel,Manuelle,21 Déc. 2016,Nabeul,particulier,230000 Km,2011,Très bon
2922,Prix : 23 800 DT,Kia Rio,5 CV,Essence,Manuelle,21 Déc. 2016,Teboulba,particulier,123 Km,2012,Très bon
2923,Prix : 23 500 DT,Audi A4,,Essence,Manuelle,21 Déc. 2016,Beni Khalled,particulier,195000 Km,2006,Très bon
2924,Prix : 90 000 DT,MERCEDES E250 CDI,,Diesel,Manuelle,21 Déc. 2016,Ezzahra,particulier,48500 Km,2009,Très bon
2925,Prix : 18 900 DT,Citroën Berlingo,,Diesel,Manuelle,21 Déc. 2016,Sfax Est,particulier,105000 Km,2012,Bon
2926,Prix : 13 500 DT,Nissan Terrano II,11 CV,Diesel,Manuelle,21 Déc. 2016,Ariana Ville,particulier,227000 Km,1997,Bon
2927,Prix : 15 500 DT,Peugeot deux cent six(206),4 CV,Essence,Manuelle,21 Déc. 2016,Ariana Ville,professionnel,114000 Km,09-2007,Excellent
2928,Prix : 62 000 DT,BMW Urban Line 116i,7 CV,Essence,Automatique,21 Déc. 2016,Tunis,particulier,119000 Km,09-2012,Excellent
2929,Prix : 15 300 DT,Peugeot 206 série 129,4 CV,Essence,Manuelle,21 Déc. 2016,La Marsa,professionnel,113600 Km,10-2007,Très bon
2930,Prix : 25 800 DT,Kia picanto,5 CV,Essence,Automatique,20 Déc. 2016,Tunis,particulier,17000 Km,2016,Excellent
2931,Prix : 38 000 DT,Nissan Navara,,Diesel,Manuelle,20 Déc. 2016,La Marsa,particulier,123 Km,2009,Très bon
2932,Prix : 22 500 DT,Kia cerato,7 CV,Essence,Manuelle,20 Déc. 2016,Bizerte Nord,particulier,92 Km,2010,Très bon
2933,Prix : 13 200 DT,Peugeot Partner,,Diesel,Manuelle,20 Déc. 2016,Ariana Ville,particulier,185000 Km,2006,Très bon
2934,Prix : 25 000 DT,Citroen C4,,Diesel,Manuelle,20 Déc. 2016,Ariana Ville,particulier,185000 Km,2012,Très bon
2935,Prix : 10 900 DT,Renault Clio,,Essence,Manuelle,20 Déc. 2016,Siliana Nord,particulier,230000 Km,2004,Bon
2936,Prix : 60 000 DT,Honda CR-V,11 CV,Essence,Manuelle,20 Déc. 2016,Ezzahra,particulier,16 Km,2015,Très bon
2937,Prix : 15 300 DT,Peugeot 206 série 129,4 CV,Essence,Manuelle,20 Déc. 2016,La Marsa,professionnel,113600 Km,10-2007,Excellent
2938,Prix : 26 000 DT,Kia rio sedan,5 CV,Essence,Manuelle,19 Déc. 2016,Megrine,particulier,77000 Km,2013,Très bon
2939,Prix : 18 600 DT,Megane Essence,,Essence,Manuelle,19 Déc. 2016,Sfax Sud,particulier,185000 Km,2006,Très bon
2940,Prix : 11 000 DT,Renault clio,4 CV,Essence,Manuelle,19 Déc. 2016,Bizerte Nord,particulier,175000 Km,2010,Très bon
2941,Prix : 19 800 DT,Renault Symbol,5 CV,Essence,Manuelle,19 Déc. 2016,Hammam Sousse,particulier,62000 Km,2013,Très bon
2942,Prix : 17 700 DT,Ford Figo,,Essence,Manuelle,19 Déc. 2016,Kebili Nord,particulier,60000 Km,2013,Très bon
2943,Prix : 19 500 DT,Opel Astra,5 CV,Essence,Manuelle,19 Déc. 2016,Nouvelle Medina,particulier,210 Km,2007,Bon
2944,Prix : 33 000 DT,Mini One,5 CV,Essence,Manuelle,19 Déc. 2016,Ezzahra,particulier,136 Km,2010,Très bon
2945,Prix : 18 500 DT,Fiat pop,4 CV,Essence,Manuelle,19 Déc. 2016,Nabeul,particulier,125000 Km,2013,Très bon
2946,Prix : 14 900 DT,Peugeot 206,5 CV,Essence,Manuelle,19 Déc. 2016,Ezzahra,particulier,145 Km,2006,Très bon
2947,Prix : 23 000 DT,Renault Megane,,Diesel,Manuelle,19 Déc. 2016,Ezzahra,particulier,171 Km,2010,Très bon
2948,Prix : 15 000 DT,Renault Megane,,Essence,Manuelle,19 Déc. 2016,Ariana Ville,particulier,155000 Km,2003,Très bon
2949,Prix : 26 500 DT,Peugeot Partner,,Essence,Manuelle,19 Déc. 2016,Le Bardo,particulier,52000 Km,2012,Très bon
2950,Prix : 12 100 DT,Fiat palio,,Essence,Manuelle,19 Déc. 2016,El Menzah,particulier,135000 Km,2007,Très bon
